VEMCO DATA LOG,2.0.0,fathom_connect-4.0.2-20240717-2071e7-release,vdatapi-10.6.0-20240716-1903df-release
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg)
BATTERY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Battery Position,Battery Type,Battery Serial Number,Battery Voltage (V),Battery Remaining (%)
CFG_CHANNEL_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Channel,Detection Type,Frequency (kHz),Blanking (ms),Map ID,Coding ID
CFG_STATION_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Station Name,Latitude (deg),Longitude (deg)
CFG_STUDY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Description
CFG_TRANSMITTER_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Transmission Type,Full ID,ID,Power Level,Min Delay (s),Max Delay (s)
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source
DATA_ERROR_DESC,Type,Error,Page,Offset,Description
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m)
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s)
DET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Channel,Detection Type,Full ID,ID,Raw Data,Transmitter Serial,Signal Strength (dB),Noise (dB),Gain (dB),Quality Score,Station Name,Latitude,Longitude,GPS HDOP
DATA_SOURCE_FILE,HR2-180 461360 2024-07-29 173416.vdat,53ffc5da-69ea-4062-9ffa-9f1671b6a34d,com.vemco.file.vrdp.vrhr2/1.0.0,27291,ORIGINAL
EVENT_INIT,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,2024-07-29 14:52:03,UTC-04:00,1.1.1
CLOCK_REF,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,2024-07-29 14:52:03,0,INITIALIZATION
CFG_CHANNEL,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,1,PPM DIGITAL,180,100,MAP-414,
CFG_CHANNEL,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,2,PPM ANALOG,180,100,MAP-414,
CFG_CHANNEL,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,3,HR,170,,,H170-1802
CLOCK_SET,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,2024-07-29 14:52:03.998321,-0.998321,COMMAND
EVENT,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,RECORDING_RESUMED,,APP=1.1.1/414/1802,,,,,,,,,,
BATTERY,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,,LITHIUM,650552,,21
EVENT,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,STORAGE_MODE_EXITED,,,,,,,,,,,,
CFG_TRANSMITTER,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,PPM,A180-1702-62360,62360,HIGH,30,30
CFG_TRANSMITTER,2024-07-29 14:52:03,2024-07-29 14:52:03,,0,HR2-180,461360,HR,H170-1802-62360,62360,HIGH,5,5
DET,2024-07-29 14:52:15.719345,2024-07-29 14:52:15.719128,,-0.000216926,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:52:20.719467,2024-07-29 14:52:20.719164,,-0.000302202,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:52:25.719604,2024-07-29 14:52:25.719216,,-0.000387478,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:52:30.719726,2024-07-29 14:52:30.719253,,-0.000472754,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:52:35.719863,2024-07-29 14:52:35.719304,,-0.000558031,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:52:42.275543,2024-07-29 14:52:42.274873,,-0.000669836,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:52:45.720092,2024-07-29 14:52:45.719363,,-0.000728582,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:52:50.720245,2024-07-29 14:52:50.719431,,-0.000813859,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:52:55.720352,2024-07-29 14:52:55.719452,,-0.000899134,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:00.720504,2024-07-29 14:53:00.719519,,-0.000984411,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:05.720611,2024-07-29 14:53:05.719541,,-0.001069687,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:10.720733,2024-07-29 14:53:10.719578,,-0.001154963,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:13.836349,2024-07-29 14:53:13.83514,,-0.001208099,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:53:15.72087,2024-07-29 14:53:15.719629,,-0.001240239,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:20.720993,2024-07-29 14:53:20.719667,,-0.001325515,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:25.72113,2024-07-29 14:53:25.719719,,-0.001410791,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:30.721252,2024-07-29 14:53:30.719755,,-0.001496067,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:35.721374,2024-07-29 14:53:35.719792,,-0.001581343,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:40.721511,2024-07-29 14:53:40.719844,,-0.001666619,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:45.397155,2024-07-29 14:53:45.395408,,-0.001746361,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:53:45.721633,2024-07-29 14:53:45.719881,,-0.001751895,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:50.72174,2024-07-29 14:53:50.719902,,-0.001837171,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:53:55.721893,2024-07-29 14:53:55.71997,,-0.001922447,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:00.722,2024-07-29 14:54:00.719992,,-0.002007723,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:05.722152,2024-07-29 14:54:05.720059,,-0.002093,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:10.722259,2024-07-29 14:54:10.72008,,-0.002178275,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:16.957946,2024-07-29 14:54:16.955661,,-0.002284624,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:54:20.722518,2024-07-29 14:54:20.720169,,-0.002348828,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:25.72264,2024-07-29 14:54:25.720205,,-0.002434104,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:30.722778,2024-07-29 14:54:30.720258,,-0.002519380,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:35.7229,2024-07-29 14:54:35.720295,,-0.002604656,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:40.723022,2024-07-29 14:54:40.720332,,-0.002689932,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:45.723159,2024-07-29 14:54:45.720383,,-0.002775208,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:48.518753,2024-07-29 14:54:48.51593,,-0.002822886,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:54:50.723281,2024-07-29 14:54:50.72042,,-0.002860484,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:54:55.723419,2024-07-29 14:54:55.720473,,-0.002945760,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:00.723541,2024-07-29 14:55:00.720509,,-0.003031036,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:05.723648,2024-07-29 14:55:05.720531,,-0.003116312,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:10.7238,2024-07-29 14:55:10.720598,,-0.003201588,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:15.723907,2024-07-29 14:55:15.72062,,-0.003286864,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:20.079544,2024-07-29 14:55:20.076182,,-0.003361149,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:55:20.724044,2024-07-29 14:55:20.720671,,-0.003372140,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:25.724166,2024-07-29 14:55:25.720708,,-0.003457416,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:30.724288,2024-07-29 14:55:30.720745,,-0.003542692,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:35.724426,2024-07-29 14:55:35.720798,,-0.003627969,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:40.724548,2024-07-29 14:55:40.720834,,-0.003713245,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:45.724685,2024-07-29 14:55:45.720886,,-0.003798521,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:55:51.64035,2024-07-29 14:55:51.63645,,-0.003899411,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:55:55.724929,2024-07-29 14:55:55.720959,,-0.003969073,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:00.725067,2024-07-29 14:56:00.721012,,-0.004054349,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:05.725173,2024-07-29 14:56:05.721033,,-0.004139625,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:10.725326,2024-07-29 14:56:10.721101,,-0.004224901,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:15.725433,2024-07-29 14:56:15.721122,,-0.004310177,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:20.725555,2024-07-29 14:56:20.721159,,-0.004395453,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:23.201156,2024-07-29 14:56:23.196718,,-0.004437674,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:56:25.725692,2024-07-29 14:56:25.721211,,-0.004480729,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:30.725814,2024-07-29 14:56:30.721247,,-0.004566005,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:35.725952,2024-07-29 14:56:35.7213,,-0.004651281,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:40.726074,2024-07-29 14:56:40.721337,,-0.004736557,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:45.726196,2024-07-29 14:56:45.721374,,-0.004821833,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:50.726333,2024-07-29 14:56:50.721425,,-0.004907110,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:56:54.761962,2024-07-29 14:56:54.756986,,-0.004975936,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:56:55.726455,2024-07-29 14:56:55.721462,,-0.004992385,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:00.726593,2024-07-29 14:57:00.721515,,-0.005077662,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:05.726715,2024-07-29 14:57:05.721552,,-0.005162938,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:10.726821,2024-07-29 14:57:10.721572,,-0.005248213,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:15.726974,2024-07-29 14:57:15.72164,,-0.005333490,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:20.727081,2024-07-29 14:57:20.721662,,-0.005418766,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:26.322769,2024-07-29 14:57:26.317254,,-0.005514199,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:57:30.72734,2024-07-29 14:57:30.72175,,-0.005589318,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:35.727493,2024-07-29 14:57:35.721818,,-0.005674594,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:40.7276,2024-07-29 14:57:40.72184,,-0.005759870,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:45.727722,2024-07-29 14:57:45.721876,,-0.005845146,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:50.727859,2024-07-29 14:57:50.721928,,-0.005930422,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:55.727981,2024-07-29 14:57:55.721965,,-0.006015698,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:57:57.88356,2024-07-29 14:57:57.877507,,-0.006052461,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:58:00.728118,2024-07-29 14:58:00.722017,,-0.006100974,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:05.72824,2024-07-29 14:58:05.722053,,-0.006186250,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:10.728363,2024-07-29 14:58:10.722091,,-0.006271526,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:15.7285,2024-07-29 14:58:15.722143,,-0.006356803,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:20.728622,2024-07-29 14:58:20.722179,,-0.006442079,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:25.728759,2024-07-29 14:58:25.722231,,-0.006527355,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:29.444366,2024-07-29 14:58:29.437775,,-0.006590724,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:58:30.728881,2024-07-29 14:58:30.722268,,-0.006612631,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:35.728988,2024-07-29 14:58:35.72229,,-0.006697907,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:40.729141,2024-07-29 14:58:40.722357,,-0.006783183,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:45.729248,2024-07-29 14:58:45.722379,,-0.006868459,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:50.7294,2024-07-29 14:58:50.722446,,-0.006953735,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:58:55.729507,2024-07-29 14:58:55.722467,,-0.007039011,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:01.005157,2024-07-29 14:59:00.998028,,-0.007128986,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:59:05.729766,2024-07-29 14:59:05.722556,,-0.007209563,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:10.729888,2024-07-29 14:59:10.722593,,-0.007294839,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:15.730026,2024-07-29 14:59:15.722645,,-0.007380115,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:20.730148,2024-07-29 14:59:20.722682,,-0.007465391,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:25.730285,2024-07-29 14:59:25.722734,,-0.007550668,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:30.730407,2024-07-29 14:59:30.722771,,-0.007635944,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:32.565979,2024-07-29 14:59:32.558311,,-0.007667249,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 14:59:35.730529,2024-07-29 14:59:35.722807,,-0.007721220,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:40.730667,2024-07-29 14:59:40.72286,,-0.007806496,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:45.730789,2024-07-29 14:59:45.722897,,-0.007891772,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:50.730926,2024-07-29 14:59:50.722948,,-0.007977048,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 14:59:55.731033,2024-07-29 14:59:55.72297,,-0.008062324,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DIAG_HR2,2024-07-29 15:00:00,2024-07-29 14:59:59.991864,,-0.008135130,HR2-180,461360,91,20,0,5,1,0,0,0,12
TEMP,2024-07-29 15:00:00,2024-07-29 14:59:59.991864,,-0.008135130,HR2-180,461360,26.7,26.2
ATTITUDE,2024-07-29 15:00:00,2024-07-29 14:59:59.991864,,-0.008135130,HR2-180,461360,91
DET,2024-07-29 15:00:00.731155,2024-07-29 15:00:00.723007,,-0.008147600,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:04.12677,2024-07-29 15:00:04.118564,,-0.008205511,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 15:00:05.731292,2024-07-29 15:00:05.723059,,-0.008232876,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:10.731414,2024-07-29 15:00:10.723095,,-0.008318152,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:15.731552,2024-07-29 15:00:15.723148,,-0.008403428,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:20.731674,2024-07-29 15:00:20.723185,,-0.008488704,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:25.731796,2024-07-29 15:00:25.723222,,-0.008573980,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:30.731933,2024-07-29 15:00:30.723273,,-0.008659256,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:35.687576,2024-07-29 15:00:35.678832,,-0.008743774,HR2-180,461360,1,PPM_SELF,A180-1702-62360,62360,,,,,,,,,,
DET,2024-07-29 15:00:40.732192,2024-07-29 15:00:40.723362,,-0.008829809,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
DET,2024-07-29 15:00:45.732315,2024-07-29 15:00:45.723399,,-0.008915085,HR2-180,461360,3,HR_SELF,H170-1802-62360,62360,,,,,,10,,,,
